outlet code,outlet name,City ,State,address,postcode,lat,lon,phone,email
31S,Best Auto Biz Sdn Bhd - Kuching,Kuching,Sarawak,"Lot 4645 Jalan Semariang, Petra Jaya, 93050 Kuching, Sarawak",93050,1.5333,110.3592,082 - 447 755,-
31U,Borneo Mobility (Samarahan) Sdn Bhd - Kota Samarahan,Kota Samarahan,Sarawak,"No. 18, Uni Alam Commercial Centre, Jalan Datuk Mohamad Musa, 94300 , Kota Samarahan, Sarawak.",94300,1.4611,110.4312,082-659 528,chuamh@toyota.com.my
31V,Panglima City Motor Sdn Bhd - Quayside Mall,Quayside Mall,Selangor,"B1-08, Quayside Mall, 25.7, Persiaran Freesia, 42500 Telok Panglima Garang, Selangor",42500,2.9143,101.4707,012 811 8256,balamurugana@toyota.com.my
31W,Laser Motor 4S Sdn Bhd - Oakland,Oakland,Negeri Sembilan,"P.T No. 4958, Jalan Haruan 7, Oakland Industrial Park, 70300 Seremban, Negeri Sembilan.",70300,2.7158,101.920779,06-6338837 / 06-6338838 / 06-6338839,leeyyew@toyota.com.my
31X,PCM Bangi Auto Sdn Bhd - Bangi,Bangi,Selangor,"28 & 30, Jalan P/8, Kawasan Perindustrian MIEL, 43650 Bangi, Selangor",43650,2.9454,101.7516,03-8912 5139,yonggu@toyota.com.my
31Y,Hiewa Auto Gallery (PG) Sdn Bhd - Pasir Gudang,Pasir Gudang,Johor,"No 29, Jalan Ekoperniagaan 2, Taman Kota Masai, 81700 Pasir Gudang, Johor",81700,1.47,103.902,07-7729188,teohlk@toyota.com.my
31Z,PS Otomobil (Batu Caves) Sdn Bhd - Batu Caves,Batu Caves,Selangor,"No.23, Jalan SBC 5, Taman Sri Btu Caves, 68100 Batu Caves, Selangor",68100,3.2379,101.684,03-61020999 / 03-60875999,shahirul.musa@toyota.com.my
32B,Prima Pearl Auto Sdn Bhd - Bayan Lepas,Bayan Lepas,Pulau Pinang,"100, Solok Bayan Lepas Bayan Lepas Industrial Park Phase 4, 11900 Bayan Lepas, Pulau Pinang",11900,5.2782,100.2594,04-642 5689,muthumoney@toyota.com.my
366,Harapan Menang Sdn Bhd - Beaufort,Beaufort,Sabah,"Jalan Haji Akhbar Khan, Kg Luagan, 89800 Beaufort, Sabah",89800,5.3473,115.7456,087-222 218,mruzzainni@toyota.com.my
957,HIEWA AUTO GALLERY (LEXUS) SDN. BHD. - Mutiara Damansara,Mutiara Damansara,Selangor,"NO. 6, JALAN PJU 7/2, MUTIARA DAMANSARA, 47800 PETALING JAYA SELANGOR",47800,3.157,101.612,03 - 7710 5655,muwinthenm@lexus.com.my
953,WING HIN AUTO CARRIAGE SDN BHD - Sg Besi,Sg Besi,Kuala Lumpur,"NO. 314, JALAN SUNGAI BESI, 57000 KUALA LUMPUR.",57000,3.0547,101.7089,03 - 9222 2268,chewcwe@lexus.com.my
960,LEXUS PCM SG RASAH - Sg Rasah,Sg Rasah,Selangor,"Lot 725, Jalan Sungai Rasah, Seksyen 16, 40200 Shah Alam, Selangor",40200,3.0617,101.5453,012-875 3987,nareshs@toyota.com.my
962,MM HIEWA AUTO GALLERY (LEXUS) SDN BHD - JB,JB,Johor,"LOT R3, ANJUNG NEIGHBOURHOOD CENTRE PERSIARAN LEDANG HEIGHT 79250 NUSAJAYA, JOHOR",79250,1.41,103.612679,07 - 509 8888,-
954,BOULEVARD JAYA SDN BHD - Kuching,Kuching,Sarawak,"Lot 12648, Block 16, KCLD, Jalan Datuk Tawi Sli, 93250 Kuching, Sarawak",93250,1.5533,110.3472,082 - 466 188,taysw@lexus.com.my
955,TELAGAMAS MOTORS SDN BHD - Ipoh,Ipoh,Perak,"NO. 91, JALAN TUNKU ABDUL RAHMAN, (JALAN KUALA KANGSAR), 30010, IPOH, PERAK.",30010,4.5875,101.072779,05 - 506 0000,sukumarvs@lexus.com.my
951,TELAGAMAS MOTORS SDN BHD - Penang,Penang,Pulau Pinang,"N0. 26, JALAN SULTAN AHMAD SHAH 10500 GEORGETOWN, PULAU PINANG",10500,5.3981,100.3288,04-250 3888,credeance.chng@lexus.com.my
961,BORNEO MOBILITY (SABAH) LEXUS - Kota Kinabalu,Kota Kinabalu,Sabah,"MILE 5.5, TUARAN ROAD, 88450 KOTA KINABALU, SABAH",88450,5.9804,116.0615,088 - 382 288,jasonshimcy@toyota.com.my
963,LEXUS SUBANG JAYA - Subang,Subang,Selangor,"LOT 61716, JALAN SS 16/1, SS 16, 47500 SUBANG JAYA, SELANGOR",47500,3.0407,101.5851,03 - 5613 7909,tiresha@toyota.com.my
964,LEXUS KOTA BHARU - Kelantan,Kelantan,Kelantan,"LOT 155, JALAN KUALA KRAI, SEKSYEN 22, 15150 KOTA BHARU, KELANTAN",15150,6.115,102.220779,09 - 747 8555,normalacom@toyota.com.my
965,LEXUS KUANTAN - Kuantan,Kuantan,Pahang,"LOT 33025, JALAN PERINDUSTRIAN SEMAMBU II, KAWASAN PERINDUSTRIAN SEMAMBU, 25350 KUANTAN, PAHANG",25350,3.7977,103.308679,09 - 560 6226,norfarizaln@toyota.com.my
966,LEXUS TEBRAU - Tebrau,Tebrau,Johor,"5, JALAN PERSIARAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BAHRU, JOHOR",81100,1.4927,103.7294,07 - 432 7373,holikh@toyota.com.my
